INDICAÇÃO,TÍTULO,AUTOR,EDITORA,QUANT,VALOR UNITÁRIO,VALOR TOTAL
FUNDAMENTAL II,SOMOS TODOS AFRICANOS,FERNANDO PAIXÃO,CONHECIMENTO,1100,50,55000
FUNDAMENTAL II,UMA DONZELA QUE ERA FERA,ARLENE HOLANDA,CONHECIMENTO,1100,67,73700
FUNDAMENTAL II,A HISTÓRIA DE HERMES,"LOPES, PAULO CESAR",CORTEZ,1100,59,64900
FUNDAMENTAL II,A RETIRADA DA LAGUNA EM QUADRINHOS,ALFREDO D'ESCRAGNOLLE TAUNAY,CORTEZ,1100,59,64900
FUNDAMENTAL II,A UNIÃO FAZ A FORÇA - A VIDA DAS ABELHAS SOCIAIS,CRISTINA SANTOS ,CORTEZ,1100,46,50600
FUNDAMENTAL II,CHINELINHOS BRASILEIROS ,SILMARA RASCALHA CASADEI,CORTEZ,1100,54,59400
FUNDAMENTAL II,CISNE BRANCO ,MARCOS VINICIUS LUCIO,CORTEZ,1100,61,67100
FUNDAMENTAL II,DICIONARIO DE CITACOES - AS MAIS BELAS PALAVRAS PARA JOVENS LEITORES,DANIEL BELLU CONTRO,CORTEZ,1100,59,64900
FUNDAMENTAL II,JOÃO CABRAL E JOSUÉ DE CASTRO CONVERSA,TERESA SALES,CORTEZ,1100,32,35200
FUNDAMENTAL II,MEMORIAS DE UM MENINO QUE SE TORNOU ESTRANGEIRO,MARCOS CEZAR ,CORTEZ,1100,71,78100
FUNDAMENTAL II,MISTERIO EM VERDEJANTES,SEVERINO RODRIGUES,CORTEZ,1100,61,67100
FUNDAMENTAL II,O SERTÃO DO CONSELHEIRO ANTONIO,LUCIANA SAVAGET,CORTEZ,1100,59,64900
FUNDAMENTAL II,POEMAS DO JARDIM,PENELÓPE MARTINS; TATI MÓES,CORTEZ,1100,55,60500
FUNDAMENTAL II,SETE POVOS DAS MISSÕES EM QUADRINHOS,WALTER VETILLO,CORTEZ,1100,64,70400
FUNDAMENTAL II,TESTEMUNHA CALADA - ARTE NA PRÉ-HISTÓRIA ,DENISE ROCHAEL,CORTEZ,1100,61,67100
FUNDAMENTAL II,VOZES DO SERTÃO,LENICE GOMES,CORTEZ,1100,72,79200
FUNDAMENTAL II,ROMEU E JULIETA - HQ ,WILLIAM SHAKESPEARE,DCL,1100,48,52800
FUNDAMENTAL II,DIGA ASTRASGUD,SOCORRO ACIOLI,DEMOCRITO ROCHA,1100,44,48400
FUNDAMENTAL II,NO COLO DAS IABAS,VANIA VASCONCELOS,DEMOCRITO ROCHA,1100,100,110000
FUNDAMENTAL II,ARIANO SUASSUNA: A ARTE DE SUA ARTE,NEROALDO PONTES DE AZÊVEDO,EDDAS,1100,53,58300
FUNDAMENTAL II,HAMLET - COLEÇÃO SHAKSPEARE,WILLIAM SHAKESPEARE,EDITORA GRAFSET,1100,53,58300
FUNDAMENTAL II,MACBETH - COLEÇÃO SHAKSPEARE,WILLIAM SHAKESPEARE,EDITORA GRAFSET,1100,79,86900
FUNDAMENTAL II,MAGICO DE OZ - COLEÇÃO INTERNACIONAL,MARTIN POWELL,EDITORA GRAFSET,1100,79,86900
FUNDAMENTAL II,REI ARTUR E OS CAVALEIROS DA TÁVOLA REDONDA ,M. C. HALL,EDITORA GRAFSET,1100,53,58300
FUNDAMENTAL II,ROBIN HOOD - COLEÇÃO INTERNACIONAL,AARON SHEPARD E ANNE L. WATSON,EDITORA GRAFSET,1100,79,86900
FUNDAMENTAL II,ROMEU E JULIETA - COLEÇÃO SHAKESPEARE,WILLIAM SHAKESPEARE,EDITORA GRAFSET,1100,79,86900
FUNDAMENTAL II,SONHO DE UMA NOITE DE VERÃO - COLEÇÃO SHAKESPEARE,WILLIAM SHAKESPEARE,EDITORA GRAFSET,1100,79,86900
FUNDAMENTAL II,O COLECIONADOR DE LEMBRANÇAS,PAWLO CIDADE,EDITORA TPI,1100,53,58300
FUNDAMENTAL II,AMOR DO CORAÇÃO,ELISA OLIVEIRA,EDITUS - EDITORA DA UESC,1100,13,14300
FUNDAMENTAL II,CATA-VENTO CATA AMIZADE,ELISA OLIVEIRA,EDITUS - EDITORA DA UESC,1100,25,27500
FUNDAMENTAL II,COLCHA DE RETALHOS - UMA DECLARAÇÃO DE AMOR,ÂNGELA MÁRCIA D. T. BARBOSA,EDITUS - EDITORA DA UESC,1100,49,53900
FUNDAMENTAL II,"EU VOCÊ ESPELHO, EU ESPELHO VOCÊ, VOCÊ EU ESPELHO",ELISA OLIVEIRA,EDITUS - EDITORA DA UESC,1100,25,27500
FUNDAMENTAL II,LIVRE PARA VOAR,ELISA OLIVEIRA,EDITUS - EDITORA DA UESC,1100,25,27500
FUNDAMENTAL II,PERGUNTAS DE COR,ELISA OLIVEIRA,EDITUS - EDITORA DA UESC,1100,25,27500
FUNDAMENTAL II,BEATO ZE LOURENCO E O BOI MANSINHO ,JOSÉ NORMANDO RODRIGUES ,ENSINAMENTO,1100,32,35200
FUNDAMENTAL II,BEZERRA DE MENEZES: GUIA DE LUZ ,GONCALO FERREIRA DIAS ,ENSINAMENTO,1100,32,35200
FUNDAMENTAL II,BOX BRASILIA EM CORDEL ,NÃO CONSTA,ENSINAMENTO,1100,120,132000
FUNDAMENTAL II,BRASÍLIA - AS MARGENS DO PARANOÁ,DONZÍLIO LUIZ DE OLIVEIRA,ENSINAMENTO,1100,32,35200
FUNDAMENTAL II,BRASILIA DE MIL DESTINOS - CORDEL ILUSTRADO,MOREIRA DE ACOPIARA,ENSINAMENTO,1100,32,35200
FUNDAMENTAL II,CANUDOS: A SAGA DO POVO NORDESTINO EM CORDEL,BABI GUEDES,ENSINAMENTO,1100,60,66000
FUNDAMENTAL II,"HOMEM, O LOBO DO HOMEM",ANTÔNIO QUEIROZ DE FRANÇA,ENSINAMENTO,1100,32,35200
FUNDAMENTAL II,IMPOSTO SOBRE A VENDA DE IMÓVEIS,JOSÉ RIBAMAR BARROS PENHA,ENSINAMENTO,1100,32,35200
FUNDAMENTAL II,"O ADVOGADO, O DIABO E A BENGALA",MARCOS MAIRTON,ENSINAMENTO,1100,32,35200
FUNDAMENTAL II,O MARTÍRIO DE FREI TITO,ANTÔNIO QUEIROZ DE FRANÇA,ENSINAMENTO,1100,50,55000
FUNDAMENTAL II,O PRECO DA SOBERBA OU A MÃE DESNATURADA,MANOEL MONTEIRO,ENSINAMENTO,1100,32,35200
FUNDAMENTAL II,UMA CIDADE DOS SONHOS,ANTONIO FRANCISCO,ENSINAMENTO,1100,32,35200
FUNDAMENTAL II,O LOBO BOLO,LUH OLIVEIRA,FLAMINGO,1100,34,37400
FUNDAMENTAL II,ORGULHO E PRECONCEITO EM CORDEL,NILZA DIAS,FLOREAR LIVROS,1100,70,77000
FUNDAMENTAL II,"AFINAL, INTELIGÊNCIA ARTIFICIAL É LEGAL?",GUILHERME SALES,FORT EDITORA,1100,60,66000
FUNDAMENTAL II,O DIÁRIO DE DAVI,SILVANO SULZART,FORT EDITORA,1100,65,71500
FUNDAMENTAL II,DE TODAS AS FORMAS,MARCIA MONTENEGRO,FORT EDITORA,1100,60,66000
FUNDAMENTAL II,O VALOR DE CADA UM,MÁRCIA MONTENEGRO,FORT EDITORA,1100,80,88000
FUNDAMENTAL II,ELA TEM OLHOS DE CÉU,SOCORRO ACIOLLI,GAIVOTA,1100,68,74800
FUNDAMENTAL II,A CINZA DAS HORAS,MANUEL BANDEIRA,GLOBAL,1100,59,64900
FUNDAMENTAL II,ALGUMAS ASSOMBRAÇÕES DO RECIFE VELHO,GILBERTO FREYRE,GLOBAL,1100,65,71500
FUNDAMENTAL II,BANGUE,JOSE LINS DO REGO,GLOBAL,1100,75,82500
FUNDAMENTAL II,CAMINHO DA POESIA,FERREIRA GULLAR,GLOBAL,1100,59,64900
FUNDAMENTAL II,CONTO COM VOCÊ,LUIS DA CAMARA CASCUDO,GLOBAL,1100,59,64900
FUNDAMENTAL II,CONTOS TRADICIONAIS DO BRASIL PARA JOVENS,LUIS DA CAMARA CASCUDO,GLOBAL,1100,65,71500
FUNDAMENTAL II,CRÔNICAS PARA JOVENS,JOSE LINS DO REGO,GLOBAL,1100,65,71500
FUNDAMENTAL II,DE MENINO A HOMEM,GILBERTO FREYRE,GLOBAL,1100,85,93500
FUNDAMENTAL II,EURIDICE,JOSE LINS DO REGO,GLOBAL,1100,69,75900
FUNDAMENTAL II,FAZ DE CONTO,LUIS DA CAMARA CASCUDO,GLOBAL,1100,59,64900
FUNDAMENTAL II,FOGO MORTO,JOSE LINS DO REGO,GLOBAL,1100,75,82500
FUNDAMENTAL II,GAMAÇÃO,FERREIRA GULLAR,GLOBAL,1100,55,60500
FUNDAMENTAL II,GUIA PRATICO SENTIMENTAL DA CIDADE DO RECIFE,GILBERTO FREYRE,GLOBAL,1100,119,130900
FUNDAMENTAL II,HISTÓRIAS DE VAQUEIROS E DE CANTADORES PARA JOVENS,LUIS DA CAMARA CASCUDO,GLOBAL,1100,65,71500
FUNDAMENTAL II,INTERPRETAÇÃO DO BRASIL,GILBERTO FREYRE,GLOBAL,1100,85,93500
FUNDAMENTAL II,MELHORES CRÔNICAS DE FERREIRA GULLAR,FERREIRA GULLAR,GLOBAL,1100,59,64900
FUNDAMENTAL II,MELHORES CRÔNICAS DE MANUEL BANDEIRA,MANUEL BANDEIRA,GLOBAL,1100,59,64900
FUNDAMENTAL II,MELHORES POEMAS DE FERREIRA GULLAR,FERREIRA GULLAR,GLOBAL,1100,59,64900
FUNDAMENTAL II,MELHORES POEMAS DE GONÇALVES DIAS,GONÇALVES DIAS,GLOBAL,1100,49,53900
FUNDAMENTAL II,MELHORES POEMAS DE JOÃO CABRAL DE MELO NETO,CASTRO ALVES,GLOBAL,1100,59,64900
FUNDAMENTAL II,MELHORES POEMAS DE PATATIVA DO ASSARÉ,PATATIVA DO ASSARÉ,GLOBAL,1100,59,64900
FUNDAMENTAL II,MENINO DE ENGENHO,JOSE LINS DO REGO,GLOBAL,1100,59,64900
FUNDAMENTAL II,NORDESTE ,GILBERTO FREYRE,GLOBAL,1100,79,86900
FUNDAMENTAL II,O ESCRAVO NOS ANÚNCIOS DE JORNAIS BRASILEIROS DO SÉCULO XIX,GILBERTO FREYRE,GLOBAL,1100,75,82500
FUNDAMENTAL II,O MELHORES POEMAS DE CASTRO ALVES,CASTRO ALVES,GLOBAL,1100,49,53900
FUNDAMENTAL II,O REI QUE MORA NO MAR,FERREIRA GULLAR,GLOBAL,1100,49,53900
FUNDAMENTAL II,"OLINDA - 2º GUIA PRATICO, HISTÓRICO E SENTIMENTAL DE CIDADE BRASILEIRA",GILBERTO FREYRE,GLOBAL,1100,129,141900
FUNDAMENTAL II,PÉ DE POESIA,FERREIRA GULLAR,GLOBAL,1100,59,64900
FUNDAMENTAL II,PEDRA BONITA,JOSE LINS DO REGO,GLOBAL,1100,65,71500
FUNDAMENTAL II,"POIS É, POESIA",FERREIRA GULLAR,GLOBAL,1100,59,64900
FUNDAMENTAL II,PUREZA,JOSE LINS DO REGO,GLOBAL,1100,65,71500
FUNDAMENTAL II,RIACHO DOCE,JOSE LINS DO REGO,GLOBAL,1100,65,71500
FUNDAMENTAL II,TALVEZ POESIA,GILBERTO FREYRE,GLOBAL,1100,65,71500
FUNDAMENTAL II,TRAÇO DE POETA,FERREIRA GULLAR,GLOBAL,1100,59,64900
FUNDAMENTAL II,UM FIO DE PROSA,LUIS DA CAMARA CASCUDO,GLOBAL,1100,59,64900
